beta1,likelihood,nll
-10,2.48077e-50,114.221
-9.95,4.29969e-50,113.671
-9.9,7.45225e-50,113.121
-9.85,1.29162e-49,112.571
-9.8,2.23864e-49,112.021
-9.75,3.88001e-49,111.471
-9.7,6.7248e-49,110.921
-9.65,1.16554e-48,110.371
-9.6,2.02009e-48,109.821
-9.55,3.50119e-48,109.271
-9.5,6.0682e-48,108.721
-9.45,1.05173e-47,108.171
-9.4,1.82282e-47,107.621
-9.35,3.15926e-47,107.071
-9.3,5.47552e-47,106.521
-9.25,9.48994e-47,105.971
-9.2,1.64475e-46,105.421
-9.15,2.85061e-46,104.871
-9.1,4.94051e-46,104.321
-9.05,8.5626e-46,103.772
-9,1.48401e-45,103.222
-8.95,2.57198e-45,102.672
-8.9,4.45755e-45,102.122
-8.85,7.72545e-45,101.572
-8.8,1.3389e-44,101.022
-8.75,2.32045e-44,100.472
-8.7,4.02155e-44,99.9221
-8.65,6.96969e-44,99.3722
-8.6,1.2079e-43,98.8223
-8.55,2.09337e-43,98.2724
-8.5,3.62792e-43,97.7225
-8.45,6.28735e-43,97.1726
-8.4,1.08962e-42,96.6227
-8.35,1.88834e-42,96.0729
-8.3,3.27251e-42,95.523
-8.25,5.67126e-42,94.9732
-8.2,9.82822e-42,94.4233
-8.15,1.7032e-41,93.8735
-8.1,2.95158e-41,93.3236
-8.05,5.11492e-41,92.7738
-8,8.86379e-41,92.224
-7.95,1.53602e-40,91.6742
-7.9,2.66175e-40,91.1244
-7.85,4.61249e-40,90.5746
-7.8,7.99277e-40,90.0249
-7.75,1.38502e-39,89.4751
-7.7,2.39997e-39,88.9254
-7.65,4.15865e-39,88.3756
-7.6,7.20598e-39,87.8259
-7.55,1.24861e-38,87.2762
-7.5,2.16349e-38,86.7265
-7.45,3.74865e-38,86.1768
-7.4,6.49515e-38,85.6272
-7.35,1.12537e-37,85.0775
-7.3,1.94981e-37,84.5279
-7.25,3.37817e-37,83.9783
-7.2,5.85278e-37,83.4287
-7.15,1.01399e-36,82.8792
-7.1,1.75669e-36,82.3296
-7.05,3.04331e-36,81.7801
-7,5.27214e-36,81.2306
-6.95,9.13306e-36,80.6812
-6.9,1.5821e-35,80.1317
-6.85,2.74055e-35,79.5823
-6.8,4.74711e-35,79.0329
-6.75,8.22256e-35,78.4836
-6.7,1.4242e-34,77.9343
-6.65,2.46671e-34,77.385
-6.6,4.27218e-34,76.8358
-6.55,7.39885e-34,76.2866
-6.5,1.28133e-33,75.7374
-6.45,2.21891e-33,75.1883
-6.4,3.84236e-33,74.6392
-6.35,6.65329e-33,74.0902
-6.3,1.152e-32,73.5412
-6.25,1.99456e-32,72.9923
-6.2,3.45316e-32,72.4434
-6.15,5.97807e-32,71.8946
-6.1,1.03485e-31,71.3459
-6.05,1.7913e-31,70.7972
-6,3.10049e-31,70.2486
-5.95,5.36612e-31,69.7
-5.9,9.28663e-31,69.1516
-5.85,1.60702e-30,68.6032
-5.8,2.78068e-30,68.0549
-5.75,4.81107e-30,67.5066
-5.7,8.32325e-30,66.9585
-5.65,1.4398e-29,66.4105
-5.6,2.4904e-29,65.8625
-5.55,4.30716e-29,65.3147
-5.5,7.44842e-29,64.767
-5.45,1.28791e-28,64.2194
-5.4,2.22667e-28,63.6719
-5.35,3.8492e-28,63.1245
-5.3,6.65312e-28,62.5773
-5.25,1.14979e-27,62.0302
-5.2,1.98677e-27,61.4833
-5.15,3.43249e-27,60.9365
-5.1,5.92925e-27,60.3899
-5.05,1.02404e-26,59.8435
-5,1.76828e-26,59.2972
-4.95,3.05285e-26,58.7511
-4.9,5.26954e-26,58.2053
-4.85,9.09387e-26,57.6596
-4.8,1.56902e-25,57.1142
-4.75,2.7065e-25,56.569
